what,kind,bundleId,bundleVersion,description,time
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1317050185609
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1317050185610
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1317050185610
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1317050185611
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1317050185612
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1317050185613
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1317050185613
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1317050185614
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1317050185614
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1317050185615
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1317050185615
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1317050185616
os,sysinfo,,,"win32",1317050185619
arch,sysinfo,,,"x86",1317050185619
ws,sysinfo,,,"win32",1317050185619
locale,sysinfo,,,"en_US",1317050185619
processors,sysinfo,,,"4",1317050185619
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317050185619
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1317050185619
java.specification.name,sysinfo,,,"Java Platform API Specification",1317050185619
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317050185619
java.specification.version,sysinfo,,,"1.6",1317050185619
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317050185619
java.version,sysinfo,,,"1.6.0_22",1317050185619
java.vm.info,sysinfo,,,"mixed mode",1317050185619
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317050185619
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317050185619
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317050185619
java.vm.specification.version,sysinfo,,,"1.0",1317050185619
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317050185619
java.vm.version,sysinfo,,,"17.1-b03",1317050185619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317050188063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317050216182
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1317050216201
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317050221281
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1317050221527
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1317050221528
